ciudad,depto_key,regional,leads
COYAIMA,TOLIMA,Occidente y centro,1
CUCUNUBÁ,CUNDINAMARCA,Bogota,1
Cajica,NA,Sin regional,1
Calarcá,CALARCA QUINDIO,Sin regional,1
Caldas,CALDAS ANTIOQUIA,Sin regional,1
Carmen de Apicalá,CARMEN DE APICALA TOLIMA,Sin regional,1
Cartagena del Chairá,CARTAGENA DEL CHAIRA CAQUETA,Sin regional,1
Cerrito,CERRITO SANTANDER,Sin regional,1
Charalá,CHARALA SANTANDER,Sin regional,1
Chinchiná,CHINCHINA CALDAS,Sin regional,1
Corozal,COROZAL SUCRE,Sin regional,1
Coveñas,COVENAS SUCRE,Sin regional,1
CÓMBITA,BOYACA,Oriente,1
Córdoba,CORDOBA QUINDIO,Sin regional,1
DAGUA,VALLE DEL CAUCA,Occidente y centro,1
Dibulla,DIBULLA LA GUAJIRA,Sin regional,1
EL BAGRE,ANTIOQUIA,Antioquia y eje,1
EL CARMEN DE BOLÍVAR,BOLIVAR,Costa atlantica,1
EL PASO,CESAR,Costa atlantica,1
EL PAUJIL,CAQUETA,Resto del pais,1
EL RETÉN,MAGDALENA,Costa atlantica,1
EL TAMBO,NARINO,Occidente y centro,1
El Bagre,EL BAGRE ANTIOQUIA,Sin regional,1
El Dovio,EL DOVIO VALLE DEL CAUCA,Sin regional,1
Entrerríos,ENTRERRIOS ANTIOQUIA,Sin regional,1
Envigado,NA,Sin regional,1
FILADELFIA,CALDAS,Antioquia y eje,1
FLORESTA,BOYACA,Oriente,1
FLORIÁN,SANTANDER,Oriente,1
FRONTINO,ANTIOQUIA,Antioquia y eje,1
FUENTE DE ORO,META,Oriente,1
Filandia,FILANDIA QUINDIO,Sin regional,1
Fonseca,FONSECA LA GUAJIRA,Sin regional,1
Funza,FUNZA CUNDINAMARCA,Sin regional,1
GACHALA,CUNDINAMARCA,Bogota,1
GIRALDO,ANTIOQUIA,Antioquia y eje,1
GUACARÍ,VALLE DEL CAUCA,Occidente y centro,1
GUACHETÁ,CUNDINAMARCA,Bogota,1
GUACHUCAL,NARINO,Occidente y centro,1
GUAVATÁ,SANTANDER,Oriente,1
GUAYATÁ,BOYACA,Oriente,1
GUÁTICA,RISARALDA,Antioquia y eje,1
Galapa,GALAPA ATLANTICO,Sin regional,1
Garagoa,GARAGOA BOYACA,Sin regional,1
Ginebra,GINEBRA VALLE DEL CAUCA,Sin regional,1
Girardot,GIRARDOT CUNDINAMARCA,Sin regional,1
Girardota,GIRARDOTA ANTIOQUIA,Sin regional,1
Girón,GIRON SANTANDER,Sin regional,1
González,GONZALEZ CESAR,Sin regional,1
Granada,GRANADA META,Sin regional,1
Guamal,GUAMAL MAGDALENA,Sin regional,1
Guamal,GUAMAL META,Sin regional,1
Guasca,GUASCA CUNDINAMARCA,Sin regional,1
Güicán de la Sierra,GUICAN DE LA SIERRA BOYACA,Sin regional,1
HOBO,HUILA,Occidente y centro,1
ICONONZO,TOLIMA,Occidente y centro,1
ISTMINA,CHOCO,Resto del pais,1
Ipiales,IPIALES NARINO,Sin regional,1
JAMBALÓ,CAUCA,Occidente y centro,1
JUNÍN,CUNDINAMARCA,Bogota,1
LA BELLEZA,SANTANDER,Oriente,1
LA PALMA,CUNDINAMARCA,Bogota,1
LA PINTADA,ANTIOQUIA,Antioquia y eje,1
LA UNIÓN,NARINO,Occidente y centro,1
LA UVITA,BOYACA,Oriente,1
LEBRÍJA,SANTANDER,Oriente,1
LENGUAZAQUE,CUNDINAMARCA,Bogota,1
LOS PALMITOS,SUCRE,Costa atlantica,1
LOS SANTOS,SANTANDER,Oriente,1
La Cumbre,LA CUMBRE VALLE DEL CAUCA,Sin regional,1
La Estrella,LA ESTRELLA ANTIOQUIA,Sin regional,1
La Jagua de Ibirico,LA JAGUA DE IBIRICO CESAR,Sin regional,1
La Paz,LA PAZ CESAR,Sin regional,1
La Unión,LA UNION NARINO,Sin regional,1
La Virginia,LA VIRGINIA RISARALDA,Sin regional,1
Los Patios,LOS PATIOS NORTE DE SANTANDER,Sin regional,1
MAGANGUÉ,BOLIVAR,Costa atlantica,1
MANZANARES,CALDAS,Antioquia y eje,1
MARQUETALIA,CALDAS,Antioquia y eje,1
MESETAS,META,Oriente,1
MIRAFLORES,BOYACA,Oriente,1
MISTRATÓ,RISARALDA,Antioquia y eje,1
MONTENEGRO,QUINDIO,Antioquia y eje,1
MOÑITOS,CORDOBA,Costa atlantica,1
MUTISCUA,NORTE DE SANTANDER,Oriente,1
Melgar,MELGAR TOLIMA,Sin regional,1
Montelíbano,MONTELIBANO CORDOBA,Sin regional,1
Mosquera,MOSQUERA NARINO,Sin regional,1
Moñitos,MONITOS CORDOBA,Sin regional,1
NATAGAIMA,TOLIMA,Occidente y centro,1
NEIRA,CALDAS,Antioquia y eje,1
NIMAIMA,CUNDINAMARCA,Bogota,1
NORCASIA,CALDAS,Antioquia y eje,1
Nariño,NARINO NARINO,Sin regional,1
OBANDO,VALLE DEL CAUCA,Occidente y centro,1
OIBA,SANTANDER,Oriente,1
OICATÁ,BOYACA,Oriente,1
OROCUÉ,CASANARE,Resto del pais,1
OTANCHE,BOYACA,Oriente,1
OVEJAS,SUCRE,Costa atlantica,1
PALERMO,HUILA,Occidente y centro,1
PALMAR DE VARELA,ATLANTICO,Costa atlantica,1
PANQUEBA,BOYACA,Oriente,1
PASCA,CUNDINAMARCA,Bogota,1
PAUNA,BOYACA,Oriente,1
PAZ DE RÍO,BOYACA,Oriente,1
PELAYA,CESAR,Costa atlantica,1
PEREIRA,NA,Sin regional,1
PITAL,HUILA,Occidente y centro,1
PLANADAS,TOLIMA,Occidente y centro,1
PLATO,MAGDALENA,Costa atlantica,1
PRADERA,VALLE DEL CAUCA,Occidente y centro,1
PROVIDENCIA,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,Resto del pais,1
PUEBLO NUEVO,CORDOBA,Costa atlantica,1
PUEBLORRICO,ANTIOQUIA,Antioquia y eje,1
PUENTE NACIONAL,SANTANDER,Oriente,1
PUERRES,NARINO,Occidente y centro,1
PURÍSIMA,CORDOBA,Costa atlantica,1
Paipa,PAIPA BOYACA,Sin regional,1
Piedecuesta,PIEDECUESTA SANTANDER,Sin regional,1
Pueblo Bello,PUEBLO BELLO CESAR,Sin regional,1
Puerto Colombia,PUERTO COLOMBIA ATLANTICO,Sin regional,1
Puerto López,PUERTO LOPEZ META,Sin regional,1
Quibdó,QUIBDO CHOCO,Sin regional,1
Quimbaya,QUIMBAYA QUINDIO,Sin regional,1
REMEDIOS,ANTIOQUIA,Antioquia y eje,1
REPELÓN,ATLANTICO,Costa atlantica,1
RICAURTE,NARINO,Occidente y centro,1
RIONEGRO,SANTANDER,Oriente,1
Restrepo,RESTREPO VALLE DEL CAUCA,Sin regional,1
Ricaurte,RICAURTE CUNDINAMARCA,Sin regional,1
Roldanillo,ROLDANILLO VALLE DEL CAUCA,Sin regional,1
RÍO VIEJO,BOLIVAR,Costa atlantica,1
SABANALARGA,CASANARE,Resto del pais,1
SALDAÑA,TOLIMA,Occidente y centro,1
SALENTO,QUINDIO,Antioquia y eje,1
SALGAR,ANTIOQUIA,Antioquia y eje,1
SAMACÁ,BOYACA,Oriente,1
SAN ANDRÉS,ANTIOQUIA,Antioquia y eje,1
SAN ANDRÉS,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,Resto del pais,1
SAN CARLOS,CORDOBA,Costa atlantica,1
SAN FRANCISCO,PUTUMAYO,Resto del pais,1
SAN JOSÉ DEL FRAGUA,CAQUETA,Resto del pais,1
SAN JUAN DE RÍO SECO,CUNDINAMARCA,Bogota,1
SAN JUAN NEPOMUCENO,BOLIVAR,Costa atlantica,1
SAN LUIS,TOLIMA,Occidente y centro,1
SAN LUIS DE PALENQUE,CASANARE,Resto del pais,1
SAN MIGUEL,PUTUMAYO,Resto del pais,1
SAN ONOFRE,SUCRE,Costa atlantica,1
SAN PABLO,BOLIVAR,Costa atlantica,1
SAN PABLO,NARINO,Occidente y centro,1
SAN PEDRO,VALLE DEL CAUCA,Occidente y centro,1
SAN PELAYO,CORDOBA,Costa atlantica,1
SANTA MARÍA,BOYACA,Oriente,1
SANTA ROSA DEL SUR,BOLIVAR,Costa atlantica,1
SANTA SOFÍA,BOYACA,Oriente,1
SANTIAGO,PUTUMAYO,Resto del pais,1
SANTO DOMINGO,ANTIOQUIA,Antioquia y eje,1
SARAVENA,ARAUCA,Resto del pais,1
SATIVANORTE,BOYACA,Oriente,1
SIBUNDOY,PUTUMAYO,Resto del pais,1
SILVANIA,CUNDINAMARCA,Bogota,1
SINCÉ,SUCRE,Costa atlantica,1
SOMONDOCO,BOYACA,Oriente,1
SUAN,ATLANTICO,Costa atlantica,1
SUAZA,HUILA,Occidente y centro,1
SUESCA,CUNDINAMARCA,Bogota,1
SUSA,CUNDINAMARCA,Bogota,1
SUTATAUSA,CUNDINAMARCA,Bogota,1
Sabanagrande,SABANAGRANDE ATLANTICO,Sin regional,1
Saldaña,SALDANA TOLIMA,Sin regional,1
Samacá,SAMACA BOYACA,Sin regional,1
San Carlos,SAN CARLOS ANTIOQUIA,Sin regional,1
San José del Guaviare,SAN JOSE DEL GUAVIARE GUAVIARE,Sin regional,1
San Sebastián,SAN SEBASTIAN CAUCA,Sin regional,1
Santa Rosa De Cabal,NA,Sin regional,1
Santander de Quilichao,SANTANDER DE QUILICHAO CAUCA,Sin regional,1
Saravena,SARAVENA ARAUCA,Sin regional,1
Sevilla,SEVILLA VALLE DEL CAUCA,Sin regional,1
Simacota,SIMACOTA SANTANDER,Sin regional,1
Socorro,SOCORRO SANTANDER,Sin regional,1
Supía,SUPIA CALDAS,Sin regional,1
SÁCHICA,BOYACA,Oriente,1
TADÓ,CHOCO,Resto del pais,1
TAMINANGO,NARINO,Occidente y centro,1
TARAZÁ,ANTIOQUIA,Antioquia y eje,1
TENZA,BOYACA,Oriente,1
TESALIA,HUILA,Occidente y centro,1
TIBACUY,CUNDINAMARCA,Bogota,1
TIMANÁ,HUILA,Occidente y centro,1
TINJACÁ,BOYACA,Oriente,1
TOGÜÍ,BOYACA,Oriente,1
TOLEDO,NORTE DE SANTANDER,Oriente,1
TORO,VALLE DEL CAUCA,Occidente y centro,1
TUBARÁ,ATLANTICO,Costa atlantica,1
Tenjo,TENJO CUNDINAMARCA,Sin regional,1
Tibasosa,TIBASOSA BOYACA,Sin regional,1
Timbío,TIMBIO CAUCA,Sin regional,1
Tocancipá,TOCANCIPA CUNDINAMARCA,Sin regional,1
TÁMESIS,ANTIOQUIA,Antioquia y eje,1
Támesis,TAMESIS ANTIOQUIA,Sin regional,1
ULLOA,VALLE DEL CAUCA,Occidente y centro,1
UMBITA,BOYACA,Oriente,1
Ubaque,UBAQUE CUNDINAMARCA,Sin regional,1
Urrao,URRAO ANTIOQUIA,Sin regional,1
VALDIVIA,ANTIOQUIA,Antioquia y eje,1
VALENCIA,CORDOBA,Costa atlantica,1
VALLE DEL GUAMUEZ,PUTUMAYO,Resto del pais,1
VENADILLO,TOLIMA,Occidente y centro,1
VIANÍ,CUNDINAMARCA,Bogota,1
VIOTÁ,CUNDINAMARCA,Bogota,1
VITERBO,CALDAS,Antioquia y eje,1
Villeta,VILLETA CUNDINAMARCA,Sin regional,1
Vistahermosa,VISTAHERMOSA META,Sin regional,1
YALÍ,ANTIOQUIA,Antioquia y eje,1
YONDÓ,ANTIOQUIA,Antioquia y eje,1
ZARAGOZA,ANTIOQUIA,Antioquia y eje,1
ZONA BANANERA,MAGDALENA,Costa atlantica,1
cajica,NA,Sin regional,1
